IDUTENTE;NOME;NUMERODISPOSITIVOELETRONICO
1002115;LEONOR CLEMENTINO CUNHA LEAL LOBATO;10698-595
1004899;CAMILO CARMONA AMORIM FERREIRA EANES;10147-132
1006661;RITA FERRO CLEMENTINO REGO ARANTES CARVALHEIRA ROSADO;19954-561
1007318;RODOLFO MACEDO FONSECA NOGUEIRA PAREDES FONSECA;11880-954
1008156;VALDEMAR CANECO AZEVEDO REGO SEQUEIRA MACEDO;19642-600
1009208;CARLA LEÃO SANTOS MOTA FERREIRA FERREIRA;13803-818
1010183;DANIEL BAPTISTA AROUCA ANDRADE AROUCA MATOS ANTUNES;14724-201
1010383;CELINA FONSECA AZEREDO AGUIAR BACELAR;5312-673
1010489;VITOR TINOCO LEÃO CARVALHEIRA CARDOSO DOMINGOS;5215-614
1011173;CATARINA PROENCA AMADO CANECO;10733-269
1011521;CARLA CASTRO TINOCO CARRICO CASTANHEIRA LOPES;5567-549
1013851;DOLORES MORENO QUADROS BELCHIOR;3123-797
1014921;DAVID AZEREDO FERRAZ AMORIM;2247-252
1018511;DORA CAIADO REAL LOBATO FONSECA;8854-278
1021069;VITOR MARTINS SILVA AMORA;11111-46
1023335;BRUNO AMADO ARANTES QUEIROS;19789-291
1023346;CRISTINA AZEVEDO BRITO CAIADO MOURÃO QUEIROS QUEIROS;10649-691
1024016;VALDEMAR PINTO DINIS MOURÃO CASTRO CARDOSO;7676-114
1031958;DUARTE MORENO CANECO AMORA REGO EANES BRITO;16854-879
1032963;BRUNA VALBOM MORA MARTINS;19124-571
1033017;DOLORES AMORIM FERRAZ CLEMENTINO SOEIRO COELHO;7800-776
1035666;SORAIA CARDOSO ARANTES ANDRADE;6251-24
1037065;ANA ANDRADE AMORA QUADROS PERES REGO AZEVEDO;18892-921
1038908;DOLORES CIPRIANO LOBATO BARBOSA ANDRADE TINOCO CLEMENTINO;15883-174
1039563;CARLOTA CAIADO BOGAS COELHO;1294-627
1040529;SILVIA DIAS CABRAL DINIS;8682-962
1041041;JOANA SANTOS EANES LEÃO;12810-584
1041404;VALDEMAR PAREDES FERRO CARRICO;11736-771
1041690;CATARINA MOURÃO BACELAR ROCHA ROCHA CLEMENTINO;12597-579
1042298;EDUARDO NUNES CALADO MATOS SEIXAS BACELAR;10963-140
1047098;DAVID LOPES MOREIRA FERRO LEAL;12303-25
1051359;CARLOTA AZEREDO AZEREDO REGUEIRA SOEIRO;17724-521
1054400;RICARDO AZEREDO ANDRADE FERREIRA RAMALHO;8142-153
1054680;JOANA TINOCO ROSADO PINTO VIVAS REGO;14996-938
1055424;RODOLFO PINTO BRITO NUNES ALMEIDA DIAS ANDRADE;10253-663
1057677;MARIA CARRICO REAL FERREIRA;4815-310
1060057;DORA CARMONA VIVAS AMADO MARTINS PACHECO BOGAS;17620-918
1060226;MARISA CAIADO AGUIAR CARVALHEIRA ROCHA;18273-301
1060645;BERNARDO REGO BARBOSA REGO;3410-64
1062390;ANA MORENO SILVA ROSADO RAMALHO COELHO BARBOSA;9894-28
1063339;CRISTINA AZEREDO TINOCO LOBATO AMORIM CAIADO;8935-14
1064202;CARLOTA EANES MENDES SOEIRO MARTINS AZEVEDO BAPTISTA;13471-535
1065498;SILVIA CALHEIROS CARREIRA DOMINGOS MACEDO SANTOS CASTRO;18081-206
1066759;RITA PINTO CABRAL ALMADA;9283-940
1069308;CARMO BARBOSA ROSADO MATOS LOBATO;14020-935
1071538;CRISTIANA PAREDES CARNEIRO SANTOS;5385-678
1072655;DANIEL DINIS MENDES CABRAL;19410-568
1075233;ODETE SEQUEIRA NASCIMENTO CALADO REGO;11059-487
1076431;CRISTINA SOEIRO MOREIRA CALADO;3222-324
1076829;DUARTE BOGAS CANECO BELCHIOR LEAL CABRAL;12820-491
1077945;ALZINDA CARRICO PINHEIRO CARRASCO MOREIRA PERES;2968-979
1079461;LEONOR PROENCA PACHECO BARBOSA COELHO MOREIRA FERRO;18033-545
1079752;CATARINA VALBOM DIAS ROCHA ALMEIDA COELHO;15402-583
1081456;BRUNO REGO BRITO AMORA CARRICO ANDRADE AMORIM;16565-254
1082139;BERNARDO AZENHA SOEIRO ANDRADE SEIXAS;19529-326
1082918;CARMO NUNES LOPES MENDES ALMEIDA BARROS;2282-522
1083462;PAULO ROSADO BARBOSA ROCHA PACHECO MATOS;7015-635
1083744;CRISTINA ANDRADE LEAL CARMONA ANDRADE LOBATO MATEUS;12186-245
1085679;CRISTIANO LEÃO BARROS DINIS BRITO;6835-31
1085712;DORA TINOCO DINIS PINHEIRO;13902-300
1087059;CLOTILDE TINOCO TINOCO SOEIRO CARMONA MACEDO MOURÃO;5243-132
1087612;CARINA MOURÃO SOEIRO MORENO PERES;13308-298
1088210;RITA COELHO FERRAZ AMORIM MOURÃO ESTRELA;18067-978
1089334;ALZINDA FARIAS CARRICO QUEIROS BRITO RAMALHO;19437-559
1089885;LILIANA DIAS MOURA MOREIRA;19426-904
1090122;EDUARDO AMORIM CARVALHEIRA ANTUNES;18033-130
1090911;DINA AZEVEDO DOMINGOS MORENO;15106-794
