Número;Nome;ViaVerde;EMail;Telemovel;NIF;NCC;NISS;DataNascimento
1;Leonor Clementino Cunha Leal Lobato;10698-595;leonorlccll@sal.ipg.pt;930623529;467895081;46162043;43988588322;1999-10-08
2;Camilo Carmona Amorim Ferreira Eanes;10147-132;camiloccafe@hotmail.com;969444213;220883428;46383502;20272652081;1987-09-02
3;Rita Ferro Clementino Rego Arantes Carvalheira Rosado;19954-561;ritarfcracr@hotmail.com;961086556;258192642;25257606;30156949375;1994-08-02
4;Rodolfo Macedo Fonseca Nogueira Paredes Fonseca;11880-954;rodolformfnpf@gmail.com;929622208;178764505;32636461;48945139963;1980-06-20
5;Valdemar Caneco Azevedo Rego Sequeira Macedo;19642-600;valdemarvcarsm@sapo.pt;920473277;237819046;68980798;44838688119;1983-09-03
6;Carla Leão Santos Mota Ferreira Ferreira;13803-818;carlaclsmff@sapo.pt;956122927;295529792;78924335;56816087613;1998-10-15
7;Daniel Baptista Arouca Andrade Arouca Matos Antunes;14724-201;danieldbaaama@gmail.com;934329384;419263799;56519040;74220489125;1989-09-21
8;Celina Fonseca Azeredo Aguiar Bacelar;5312-673;celinacfaab@hotmail.com;940664490;463365809;80746701;34900292411;1966-04-26
9;Vitor Tinoco Leão Carvalheira Cardoso Domingos;5215-614;vitorvtlccd@hotmail.com;923151243;380618829;69049427;59456062771;1981-03-22
10;Catarina Proenca Amado Caneco;10733-269;catarinacpac@sal.ipg.pt;951745446;250397231;74352221;32122700523;1991-10-14
11;Carla Castro Tinoco Carrico Castanheira Lopes;5567-549;carlacctccl@sapo.pt;948022763;226404642;97115435;29877173426;1946-07-30
12;Dolores Moreno Quadros Belchior;3123-797;doloresdmqb@sapo.pt;954814535;437737945;83465072;12797157284;1978-01-25
13;David Azeredo Ferraz Amorim;2247-252;daviddafa@gmail.com;926204216;176099068;88078651;74852805937;1997-05-02
14;Dora Caiado Real Lobato Fonseca;8854-278;doradcrlf@sal.ipg.pt;921832202;493607760;76732376;38399039182;1996-07-26
15;Vitor Martins Silva Amora;11111-46;vitorvmsa@sal.ipg.pt;946031418;484673961;39623402;95751065612;1961-04-28
16;Bruno Amado Arantes Queiros;19789-291;brunobaaq@sapo.pt;925319110;431378471;26947309;17957716069;1972-03-29
17;Cristina Azevedo Brito Caiado Mourão Queiros Queiros;10649-691;cristinacabcmqq@sal.ipg.pt;923335059;258551440;47121750;87075792763;1950-01-27
18;Valdemar Pinto Dinis Mourão Castro Cardoso;7676-114;valdemarvpdmcc@hotmail.com;922340323;137121362;78833454;95491761994;1989-11-24
19;Duarte Moreno Caneco Amora Rego Eanes Brito;16854-879;duartedmcareb@gmail.com;940611536;284178426;33671440;13385125074;1951-05-08
20;Bruna Valbom Mora Martins;19124-571;brunabvmm@sal.ipg.pt;919265924;319067017;61701629;49377597506;1990-09-11
21;Dolores Amorim Ferraz Clementino Soeiro Coelho;7800-776;doloresdafcsc@gmail.com;942644929;380256540;70451905;11277152765;1968-09-06
22;Soraia Cardoso Arantes Andrade;6251-24;soraiascaa@sal.ipg.pt;921517246;366588144;96364323;88303105595;1986-05-10
23;Ana Andrade Amora Quadros Peres Rego Azevedo;18892-921;anaaaaqpra@sapo.pt;926079941;459436153;49047984;62799385615;1984-12-25
24;Dolores Cipriano Lobato Barbosa Andrade Tinoco Clementino;15883-174;doloresdclbatc@hotmail.com;960662508;178580201;55905004;46407349722;1978-02-12
25;Carlota Caiado Bogas Coelho;1294-627;carlotaccbc@hotmail.com;934972655;231135108;59802557;38731027293;1997-06-25
26;Silvia Dias Cabral Dinis;8682-962;silviasdcd@sal.ipg.pt;939660589;120458540;63772727;72960826324;1947-10-14
27;Joana Santos Eanes Leão;12810-584;joanajsel@gmail.com;961989453;124485774;21784289;38209150749;1980-04-30
28;Valdemar Paredes Ferro Carrico;11736-771;valdemarvpfc@sapo.pt;948331603;309209865;65911117;50041435857;1987-05-18
29;Catarina Mourão Bacelar Rocha Rocha Clementino;12597-579;catarinacmbrrc@sapo.pt;920304250;179654101;28294144;58848852020;1954-01-08
30;Eduardo Nunes Calado Matos Seixas Bacelar;10963-140;eduardoencmsb@hotmail.com;931777623;262861553;73357110;16667957018;1971-03-10
31;David Lopes Moreira Ferro Leal;12303-25;daviddlmfl@hotmail.com;917799215;293824340;87122239;90330684729;1992-05-01
32;Carlota Azeredo Azeredo Regueira Soeiro;17724-521;carlotacaars@sapo.pt;914035412;288464230;93048086;29572404347;1944-05-31
33;Ricardo Azeredo Andrade Ferreira Ramalho;8142-153;ricardoraafr@sal.ipg.pt;922294103;392810930;38097122;14998966802;1962-04-06
34;Joana Tinoco Rosado Pinto Vivas Rego;14996-938;joanajtrpvr@hotmail.com;917129703;357120276;71116921;58670322032;1963-09-10
35;Rodolfo Pinto Brito Nunes Almeida Dias Andrade;10253-663;rodolforpbnada@hotmail.com;914261920;485674451;53151627;45205508046;1986-08-23
36;Maria Carrico Real Ferreira;4815-310;mariamcrf@sapo.pt;924200617;407774678;73993611;18083890992;1989-01-31
37;Dora Carmona Vivas Amado Martins Pacheco Bogas;17620-918;doradcvampb@gmail.com;918853438;429274167;39644083;88186241339;1973-04-06
38;Marisa Caiado Aguiar Carvalheira Rocha;18273-301;marisamcacr@sapo.pt;931211085;179996345;94446906;46762459608;1947-10-19
